lastName,count
SOWIŃSKI,6572
KLIMCZAK,6545
GOŁĘBIOWSKI,6535
CZYŻ,6531
ROSIŃSKI,6516
DROZD,6465
BIENIEK,6456
KUŚ,6436
GRUSZKA,6398
GODLEWSKI,6386
AUGUSTYNIAK,6379
KRAWIEC,6364
SKRZYPCZAK,6347
PANEK,6343
GROCHOWSKI,6330
PTAK,6317
PRZYBYŁA,6274
GIL,6232
KOMOROWSKI,6195
WINIARSKI,6194
KONOPKA,6193
RÓŻAŃSKI,6193
SIWEK,6130
KULIK,6120
SŁOWIK,6115
CYBULSKI,6094
LEŚNIEWSKI,6058
GRZYB,6044
SZCZEPANIK,6035
KŁOS,6029
ZAREMBA,6026
KRZYŻANOWSKI,6023
CICHOŃ,5973
ZARZYCKI,5970
GRACZYK,5968
TOKARSKI,5965
MIELCZAREK,5947
MŁYNARCZYK,5925
KACZYŃSKI,5909
MIKOŁAJCZAK,5880
STAŃCZYK,5864
BUCZEK,5860
SZOSTAK,5851
CICHOCKI,5845
SZYMCZYK,5837
BIERNAT,5834
WĘGRZYN,5831
STRZELECKI,5823
JUREK,5793
BARTKOWIAK,5772
MAĆKOWIAK,5767
JANUS,5762
SZCZYGIEŁ,5762
SKOWRON,5755
GĄSIOR,5753
BOGUSZ,5713
GAWRON,5702
CIEŚLA,5692
FILIPIAK,5690
KALETA,5663
KUCHARCZYK,5648
NIEWIADOMSKI,5626
JANIAK,5617
KULA,5603
KOSTRZEWA,5602
RZEPKA,5593
KUBIK,5590
KSIĄŻEK,5576
PAŁKA,5570
RAKOWSKI,5567
SIENKIEWICZ,5565
BAGIŃSKI,5552
GAWLIK,5531
RÓŻYCKI,5503
ANTCZAK,5471
FRĄCZEK,5462
ZARĘBA,5459
MALEC,5444
BARTCZAK,5443
TRZCIŃSKI,5405
BANASIAK,5384
KRÓLIKOWSKI,5360
ŻEBROWSKI,5360
ROGALSKI,5348
DŁUGOSZ,5342
MIKULSKI,5326
HAJDUK,5315
ROGALA,5273
ROJEK,5262
TKACZYK,5234
LACH,5231
GRZEGORCZYK,5227
BOREK,5221
KISIEL,5219
TROJANOWSKI,5192
GAWROŃSKI,5188
DOBOSZ,5187
STEC,5184
WĄSIK,5156
WITCZAK,5156
MALISZEWSKI,5154
WOLNY,5140
RYBICKI,5126
RADOMSKI,5124
ŚLUSARCZYK,5111
MIKA,5083
ZABOROWSKI,5030
KMIECIK,5018
BIAŁAS,5009
PAWELEC,5001
WALKOWIAK,4996
GRZESIAK,4985
GAŁĄZKA,4982
KACZOROWSKI,4977
LIPSKI,4970
SOKÓŁ,4963
BOGUCKI,4961
FRĄCKOWIAK,4954
FRANKOWSKI,4930
KARWOWSKI,4930
WNUK,4924
BOCHENEK,4917
CICHY,4901
ZYGMUNT,4889
KWAŚNIEWSKI,4871
WÓJCICKI,4847
WIĘCKOWSKI,4846
NAWROT,4841
ŻMUDA,4829
DUDZIŃSKI,4814
JUSZCZAK,4807
JANAS,4790
PASTERNAK,4780
PIETRAS,4776
MROCZEK,4771
GAWEŁ,4766
ROSIAK,4730
SKRZYPEK,4718
WOJTCZAK,4717
MISIAK,4708
LASOTA,4704
ŁAPIŃSKI,4703
PIÓRKOWSKI,4692
JĘDRZEJCZYK,4690
KARAŚ,4689
WROŃSKI,4689
FIJAŁKOWSKI,4685
BUJAK,4684
KOŁODZIEJSKI,4675
DĄBEK,4669
BURZYŃSKI,4667
KUBACKI,4664
KRYSIAK,4659
CZYŻEWSKI,4655
GRUSZCZYŃSKI,4646
PIWOWARCZYK,4628
GUTOWSKI,4626
BOROWIEC,4600
MASŁOWSKI,4596
SOŁTYS,4588
SZAFRAŃSKI,4574
JAGODZIŃSKI,4571
TARNOWSKI,4565
ŁUKASZEWSKI,4564
STELMACH,4562
ZAJĄCZKOWSKI,4558
JAGIEŁŁO,4557
CEBULA,4546
KAŁUŻNY,4541
ZIELONKA,4539
BIELAWSKI,4523
LISIECKI,4513
WOŹNY,4509
ŁUKASIEWICZ,4507
CYGAN,4502
KAŁUŻA,4500
KRAKOWIAK,4500
PILARSKI,4495
JURKIEWICZ,4485
SKOCZYLAS,4478
FALKOWSKI,4473
WILCZEK,4473
BOBER,4469
SZCZEŚNIAK,4461
PAKUŁA,4458
DRZEWIECKI,4457
FILIPEK,4456
SKIBIŃSKI,4449
JĘDRZEJCZAK,4441
KĘDZIORA,4425
SOBIERAJ,4420
JAKUBIAK,4411
STRZELCZYK,4394
DĘBOWSKI,4384
GĄSIOROWSKI,4379
FLIS,4377
TWARDOWSKI,4366
RACZYŃSKI,4345
WASIAK,4324
GOŁĄB,4323
STANEK,4317
KUBICA,4315
MIERZEJEWSKI,4306
GUZIK,4302
KULIG,4291
GÓRNIAK,4290
GÓRAL,4289
WIĘCEK,4287
MAJCHER,4282
BARTOSIK,4264
WOLAK,4260
DZIUBA,4258
MATUSZAK,4246
MOTYKA,4226
GRZYWACZ,4223
RUSIN,4222
DROZDOWSKI,4220
BILSKI,4218
SZWED,4209
NOWACZYK,4199
BURY,4194
